model,cv_wape,test_wape,test_rmse,fit_time_s,best_params
RandomForest,0.2229548281235575,0.4844026385273872,16.518320852452895,120.3506669998169,"{'model__max_depth': 10, 'model__n_estimators': 100}"
LightGBM,0.46534482923186254,0.5378403177314364,17.53758828782392,11.632584810256958,"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'model__num_leaves': 31}"
XGBoost,0.4704728601814947,0.5379452766658358,18.596954582418892,19.09097170829773,"{'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 200}"
Dummy,,0.8752813203300825,29.407583624857505,0.6227371692657471,{}
Ridge,0.34828637716992955,0.8981269361398585,47.16944667995409,5.111516714096069,{'model__alpha': 10.0}
